cluster_id,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f
1.0,0.52,0.18055555555555555,0.2680412332872782,0.28,0.08641975308641975,0.13207546809362772,0.48,0.16666666666666666,0.24742267658624723
2.0,0.56,0.15053763440860216,0.2372881322536628,0.3333333333333333,0.06837606837606838,0.11347517448015701,0.56,0.15053763440860216,0.2372881322536628
3.0,0.37037037037037035,0.1111111111111111,0.17094016738987514,0.1111111111111111,0.02631578947368421,0.04255318839293821,0.3333333333333333,0.1,0.15384615029585808
4.0,0.3103448275862069,0.0989010989010989,0.1499999963347223,0.0,0.0,0.0,0.20689655172413793,0.06593406593406594,0.09999999633472235
5.0,0.3125,0.050505050505050504,0.08695651934366737,0.0,0.0,0.0,0.3125,0.050505050505050504,0.08695651934366737
6.0,0.5,0.07964601769911504,0.13740457778218054,0.0,0.0,0.0,0.4444444444444444,0.07079646017699115,0.12213740220966146
7.0,0.3870967741935484,0.07142857142857142,0.12060301244514034,0.030303030303030304,0.00390625,0.006920413201949802,0.3870967741935484,0.07142857142857142,0.12060301244514034
8.0,0.36363636363636365,0.12244897959183673,0.18320610310121793,0.11428571428571428,0.02857142857142857,0.045714282514285935,0.3333333333333333,0.11224489795918367,0.16793892752869888
9.0,0.3333333333333333,0.06086956521739131,0.10294117385921288,0.09523809523809523,0.014598540145985401,0.025316453391283657,0.2857142857142857,0.05217391304347826,0.0882352915062717
10.0,0.7272727272727273,0.16842105263157894,0.2735042704507269,0.4090909090909091,0.06923076923076923,0.11842105015581723,0.6818181818181818,0.15789473684210525,0.2564102533567098
11.0,0.6896551724137931,0.17699115044247787,0.2816901375947233,0.4827586206896552,0.0875,0.1481481455502366,0.6896551724137931,0.17699115044247787,0.2816901375947233
12.0,0.55,0.11224489795918367,0.18644067515081875,0.1,0.01680672268907563,0.028776975953625803,0.45,0.09183673469387756,0.152542370066073
13.0,0.25,0.0707070707070707,0.11023621703515417,0.03571428571428571,0.008547008547008548,0.013793100331986436,0.21428571428571427,0.06060606060606061,0.09448818553909122
14.0,0.5555555555555556,0.1,0.1694915228382649,0.17647058823529413,0.024,0.04225351901904395,0.3888888888888889,0.07,0.11864406521114629
15.0,0.38461538461538464,0.08130081300813008,0.13422818503851183,0.037037037037037035,0.006756756756756757,0.011428568818939371,0.3076923076923077,0.06504065040650407,0.10738254745461925
16.0,0.2631578947368421,0.04201680672268908,0.07246376574144095,0.0,0.0,0.0,0.15789473684210525,0.025210084033613446,0.0434782584950642
17.0,0.5483870967741935,0.15315315315315314,0.23943661630529658,0.17647058823529413,0.04195804195804196,0.06779660706565817,0.4838709677419355,0.13513513513513514,0.2112676022207896
18.0,0.68,0.16037735849056603,0.2595419816444263,0.6,0.10416666666666667,0.1775147903784882,0.64,0.1509433962264151,0.24427480607190724
19.0,0.21951219512195122,0.07627118644067797,0.11320754334243122,0.04878048780487805,0.012578616352201259,0.019999996740500535,0.1951219512195122,0.06779661016949153,0.10062892699022997
20.0,0.6206896551724138,0.19148936170212766,0.29268292322559325,0.21875,0.06140350877192982,0.09589040753612324,0.5172413793103449,0.1595744680851064,0.24390243542071519
21.0,0.4166666666666667,0.11627906976744186,0.1818181784066116,0.17391304347826086,0.03669724770642202,0.06060605772842071,0.375,0.10465116279069768,0.16363636022479344
22.0,0.6538461538461539,0.2,0.30630630271893516,0.26666666666666666,0.0784313725490196,0.12121211769972462,0.6153846153846154,0.18823529411764706,0.28828828470091716
23.0,0.3333333333333333,0.05714285714285714,0.09756097311124336,0.058823529411764705,0.0072992700729927005,0.012987011022938397,0.3333333333333333,0.05714285714285714,0.09756097311124336
24.0,0.5,0.09565217391304348,0.16058393890990466,0.13636363636363635,0.02127659574468085,0.03680981361586826,0.36363636363636365,0.06956521739130435,0.11678831847194848
25.0,0.5777777777777777,0.2736842105263158,0.3714285670663266,0.3877551020408163,0.15966386554621848,0.2261904720585318,0.5555555555555556,0.2631578947368421,0.35714285278061225
26.0,0.4583333333333333,0.10891089108910891,0.17599999689728002,0.17391304347826086,0.03278688524590164,0.05517241112390025,0.375,0.0891089108910891,0.14399999689728007
27.0,0.5833333333333334,0.1044776119402985,0.17721518729690758,0.13043478260869565,0.015957446808510637,0.028436017014891977,0.5416666666666666,0.09701492537313433,0.1645569594488063
28.0,0.47619047619047616,0.15384615384615385,0.23255813584369936,0.2,0.04878048780487805,0.07843136939638615,0.47619047619047616,0.15384615384615385,0.23255813584369936
29.0,0.6666666666666666,0.14634146341463414,0.239999997048,0.3157894736842105,0.05454545454545454,0.09302325330208527,0.6111111111111112,0.13414634146341464,0.21999999704800005
