name,mean,min,max,std
rouge_1_p,0.43793504579950054,0.14285714285714285,1.0,0.16953844284112965
rouge_1_r,0.4974995945188762,0.125,0.9238095238095239,0.14525677743214221
rouge_1_f,0.4455009016144369,0.17283950139308046,0.8792270482130272,0.12483931327494212
rouge_2_p,0.2556892269809525,0.015,1.0,0.1871428370749064
rouge_2_r,0.2941389094096898,0.025,0.8581081081081081,0.16380800207554477
rouge_2_f,0.2580894553358646,0.01892744013772766,0.8372092974457666,0.1551865643491885
rouge_l_p,0.4145965274807732,0.13758389261744966,1.0,0.1726076077156634
rouge_l_r,0.46889131162830283,0.125,0.9238095238095239,0.14744821562137544
rouge_l_f,0.4207944144206604,0.17177913611953796,0.8792270482130272,0.13056656849109788
