cluster_id,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f
1.0,0.2692307692307692,0.0660377358490566,0.10606060289715344,0.04,0.007407407407407408,0.012499997363281804,0.23076923076923078,0.05660377358490566,0.09090908774563831
2.0,0.35294117647058826,0.07058823529411765,0.1176470560457517,0.0625,0.009523809523809525,0.016528923324909822,0.29411764705882354,0.058823529411764705,0.09803921290849682
3.0,0.1794871794871795,0.058333333333333334,0.08805031076302379,0.0,0.0,0.0,0.1282051282051282,0.041666666666666664,0.06289307805862132
4.0,0.75,0.1836734693877551,0.29508196405267406,0.46153846153846156,0.08823529411764706,0.14814814545343702,0.625,0.15306122448979592,0.24590163618382158
5.0,0.17647058823529413,0.028037383177570093,0.048387094408168685,0.0,0.0,0.0,0.17647058823529413,0.028037383177570093,0.048387094408168685
6.0,0.5925925925925926,0.17582417582417584,0.27118643714880786,0.37037037037037035,0.09009009009009009,0.14492753308443612,0.5555555555555556,0.16483516483516483,0.25423728460643497
7.0,0.2777777777777778,0.078125,0.12195121608566338,0.11764705882352941,0.02702702702702703,0.04395604091776377,0.2777777777777778,0.078125,0.12195121608566338
8.0,0.22580645161290322,0.07446808510638298,0.11199999627008013,0.0,0.0,0.0,0.16129032258064516,0.05319148936170213,0.07999999627008018
9.0,0.5217391304347826,0.13043478260869565,0.20869564897391307,0.2608695652173913,0.047244094488188976,0.07999999740355565,0.5217391304347826,0.13043478260869565,0.20869564897391307
10.0,0.4838709677419355,0.13513513513513514,0.2112676022207896,0.21875,0.04964539007092199,0.08092485247619377,0.41935483870967744,0.11711711711711711,0.18309858813628255
11.0,0.08695652173913043,0.017094017094017096,0.028571425825510473,0.0,0.0,0.0,0.08695652173913043,0.017094017094017096,0.028571425825510473
12.0,0.7619047619047619,0.2,0.31683167987452215,0.6190476190476191,0.11926605504587157,0.1999999972911243,0.7142857142857143,0.1875,0.29702969967650233
13.0,0.3125,0.08403361344537816,0.13245032778562355,0.0,0.0,0.0,0.21875,0.058823529411764705,0.0927152284478752
14.0,0.5882352941176471,0.09523809523809523,0.16393442383095944,0.1,0.014388489208633094,0.025157230505122623,0.4117647058823529,0.06666666666666667,0.11475409596210702
15.0,0.3333333333333333,0.0761904761904762,0.12403100472327393,0.08,0.013513513513513514,0.023121384810718966,0.2916666666666667,0.06666666666666667,0.10852712875428168
16.0,0.4090909090909091,0.09473684210526316,0.15384615079260724,0.18181818181818182,0.032,0.05442176616224734,0.3181818181818182,0.07368421052631578,0.11965811660457308
17.0,0.3333333333333333,0.1348314606741573,0.1919999958988801,0.05405405405405406,0.01904761904761905,0.02816901023110547,0.2222222222222222,0.0898876404494382,0.12799999589888011
18.0,0.5789473684210527,0.18333333333333332,0.27848100900496714,0.3888888888888889,0.1,0.15909090583677693,0.5263157894736842,0.16666666666666666,0.25316455330876464
19.0,0.23076923076923078,0.08955223880597014,0.12903225403630492,0.08,0.02531645569620253,0.03846153480954177,0.23076923076923078,0.08955223880597014,0.12903225403630492
20.0,0.8461538461538461,0.39285714285714285,0.536585361522903,0.64,0.25396825396825395,0.3636363595686984,0.7692307692307693,0.35714285714285715,0.4878048737180251
21.0,0.3,0.06,0.0999999972222223,0.0,0.0,0.0,0.25,0.05,0.08333333055555565
22.0,0.5,0.09649122807017543,0.16176470317041525,0.14285714285714285,0.017543859649122806,0.031249998051757936,0.45454545454545453,0.08771929824561403,0.14705882081747407
23.0,0.4375,0.17073170731707318,0.24561403104955376,0.24242424242424243,0.07272727272727272,0.11188810833781612,0.4375,0.17073170731707318,0.24561403104955376
24.0,0.32432432432432434,0.14285714285714285,0.19834710319240498,0.04878048780487805,0.021052631578947368,0.02941176049416151,0.24324324324324326,0.10714285714285714,0.14876032633290087
25.0,0.3333333333333333,0.10344827586206896,0.15789473322714692,0.02631578947368421,0.00641025641025641,0.010309275200341063,0.25,0.07758620689655173,0.11842104901662062
26.0,0.4583333333333333,0.13414634146341464,0.20754716630829478,0.07692307692307693,0.019230769230769232,0.030769227569231106,0.375,0.10975609756097561,0.16981131725169107
27.0,0.19047619047619047,0.03571428571428571,0.06015037328056996,0.0,0.0,0.0,0.19047619047619047,0.03571428571428571,0.06015037328056996
28.0,0.391304347826087,0.09278350515463918,0.14999999690138896,0.09090909090909091,0.014285714285714285,0.02469135567748841,0.34782608695652173,0.08247422680412371,0.1333333302347223
29.0,0.59375,0.2638888888888889,0.3653846111242604,0.46875,0.15789473684210525,0.23622046867133734,0.53125,0.2361111111111111,0.32692307266272186
30.0,0.36363636363636365,0.1016949152542373,0.1589403939353538,0.08823529411764706,0.018518518518518517,0.030612242030404267,0.30303030303030304,0.0847457627118644,0.13245032771018825
31.0,0.6956521739130435,0.13675213675213677,0.22857142582551024,0.4782608695652174,0.07534246575342465,0.13017751244144116,0.6956521739130435,0.13675213675213677,0.22857142582551024
32.0,0.7586206896551724,0.1732283464566929,0.2820512790244905,0.5666666666666667,0.10559006211180125,0.17801046855623479,0.7241379310344828,0.16535433070866143,0.2692307662039777
33.0,0.5862068965517241,0.1328125,0.21656050654225326,0.3793103448275862,0.06470588235294118,0.11055276132925942,0.5517241379310345,0.125,0.20382165303906855
34.0,0.3548387096774194,0.12087912087912088,0.18032786506181142,0.15625,0.049019607843137254,0.0746268620360884,0.2903225806451613,0.0989010989010989,0.1475409798159098
35.0,0.52,0.16883116883116883,0.25490195708381397,0.25,0.06382978723404255,0.10169491201378925,0.52,0.16883116883116883,0.25490195708381397
36.0,0.24074074074074073,0.1511627906976744,0.18571428097551032,0.05454545454545454,0.02857142857142857,0.03749999548828179,0.2222222222222222,0.13953488372093023,0.17142856668979603
37.0,0.6129032258064516,0.2714285714285714,0.37623761950789136,0.26666666666666666,0.07920792079207921,0.12213740104889002,0.5161290322580645,0.22857142857142856,0.316831678913832
38.0,0.5,0.19767441860465115,0.2833333292722222,0.24324324324324326,0.07964601769911504,0.11999999628355566,0.4117647058823529,0.16279069767441862,0.2333333292722223
39.0,0.42857142857142855,0.1016949152542373,0.16438355854381692,0.03225806451612903,0.006535947712418301,0.010869562415525297,0.35714285714285715,0.0847457627118644,0.13698629826984432
40.0,0.5161290322580645,0.19753086419753085,0.2857142817107781,0.35294117647058826,0.11650485436893204,0.1751824780201397,0.45161290322580644,0.1728395061728395,0.2499999959964924
41.0,0.8947368421052632,0.16831683168316833,0.2833333306680556,0.7222222222222222,0.09923664122137404,0.1744966421710734,0.7894736842105263,0.1485148514851485,0.2499999973347222
42.0,0.48148148148148145,0.19402985074626866,0.2765957405862381,0.20689655172413793,0.07317073170731707,0.10810810424803195,0.4444444444444444,0.1791044776119403,0.25531914484155727
43.0,0.7222222222222222,0.1015625,0.17808218961906552,0.29411764705882354,0.029585798816568046,0.05376343919932945,0.6111111111111112,0.0859375,0.15068492934509292
44.0,0.16666666666666666,0.05333333333333334,0.08080807713498639,0.0,0.0,0.0,0.16666666666666666,0.05333333333333334,0.08080807713498639
45.0,0.17647058823529413,0.1111111111111111,0.13636363162190102,0.029411764705882353,0.015384615384615385,0.020202015692277305,0.17647058823529413,0.1111111111111111,0.13636363162190102
46.0,0.5,0.13274336283185842,0.2097902064746443,0.2903225806451613,0.061224489795918366,0.10112359262908731,0.43333333333333335,0.11504424778761062,0.1818181785026163
47.0,0.4117647058823529,0.1206896551724138,0.18666666316088892,0.17647058823529413,0.040268456375838924,0.06557376746633237,0.38235294117647056,0.11206896551724138,0.17333332982755564
48.0,0.4838709677419355,0.125,0.198675493425727,0.2,0.036585365853658534,0.06185566748857487,0.45161290322580644,0.11666666666666667,0.18543046031314422
49.0,0.41379310344827586,0.10810810810810811,0.17142856814387764,0.10344827586206896,0.022556390977443608,0.037037034097698755,0.3448275862068966,0.09009009009009009,0.14285713957244905
50.0,0.6956521739130435,0.17777777777777778,0.28318583746573733,0.5,0.0873015873015873,0.14864864611760412,0.6956521739130435,0.17777777777777778,0.28318583746573733
51.0,0.2413793103448276,0.10144927536231885,0.14285713869012925,0.06451612903225806,0.02564102564102564,0.03669724363605803,0.2413793103448276,0.10144927536231885,0.14285713869012925
